type	time	latitude	longitude	altitude (m)	name	desc
T	2020-09-20 16:39:53	51.294096401	-0.350119639	44.4	Walk on&off leash to splash	
T	2020-09-20 16:39:54	51.294100676	-0.350125507	44.8		
T	2020-09-20 16:39:55	51.294101765	-0.350135397	45.0		
T	2020-09-20 16:39:56	51.294102436	-0.350145875	45.0		
T	2020-09-20 16:39:57	51.294103274	-0.350158112	45.6		
T	2020-09-20 16:39:58	51.294103526	-0.350175630	45.4		
T	2020-09-20 16:39:59	51.294103861	-0.350175044	48.0		
T	2020-09-20 16:40:00	51.294101598	-0.350161213	46.6		
T	2020-09-20 16:40:01	51.294101430	-0.350160962	46.0		
T	2020-09-20 16:40:02	51.294099921	-0.350168087	45.6		
T	2020-09-20 16:40:03	51.294093970	-0.350172194	45.4		
T	2020-09-20 16:40:04	51.294085002	-0.350159453	45.2		
T	2020-09-20 16:40:05	51.294095814	-0.350128189	45.2		
T	2020-09-20 16:40:06	51.294100424	-0.350119555	45.0		
T	2020-09-20 16:40:07	51.294104364	-0.350118382	44.8		
T	2020-09-20 16:40:08	51.294114422	-0.350122824	44.8		
T	2020-09-20 16:40:09	51.294116434	-0.350120394	45.0		
T	2020-09-20 16:40:10	51.294120038	-0.350108156	45.0		
T	2020-09-20 16:40:11	51.294127749	-0.350104133	45.2		
T	2020-09-20 16:40:12	51.294130767	-0.350104971	45.4		
T	2020-09-20 16:40:13	51.294133030	-0.350111509	45.4		
T	2020-09-20 16:40:14	51.294159601	-0.350103546	45.4		
T	2020-09-20 16:40:15	51.294159601	-0.350103546	45.4		
T	2020-09-20 16:40:16	51.294149375	-0.350096757	45.4		
T	2020-09-20 16:40:17	51.294147531	-0.350092398	45.2		
T	2020-09-20 16:40:18	51.294143088	-0.350085609	45.0		
T	2020-09-20 16:40:19	51.294139484	-0.350078316	44.8		
T	2020-09-20 16:40:20	51.294139735	-0.350077059	44.6		
T	2020-09-20 16:40:21	51.294140574	-0.350077394	44.6		
T	2020-09-20 16:40:22	51.294138981	-0.350087704	44.6		
T	2020-09-20 16:40:23	51.294136718	-0.350094913	44.6		
T	2020-09-20 16:40:24	51.294131773	-0.350100193	44.6		
T	2020-09-20 16:40:25	51.294121630	-0.350102037	44.6		
T	2020-09-20 16:40:26	51.294103693	-0.350084435	44.6		
T	2020-09-20 16:40:27	51.294094473	-0.350077478	44.6		
T	2020-09-20 16:40:28	51.294086594	-0.350069767	44.6		
T	2020-09-20 16:40:29	51.294083744	-0.350068929	44.6		
T	2020-09-20 16:40:30	51.294089193	-0.350063397	44.6		
T	2020-09-20 16:40:31	51.294086426	-0.350064235	44.6		
T	2020-09-20 16:40:32	51.294083241	-0.350060463	44.4		
T	2020-09-20 16:40:33	51.294079721	-0.350054428	44.6		
T	2020-09-20 16:40:34	51.294082403	-0.350046633	44.6		
T	2020-09-20 16:40:35	51.294080308	-0.350046130	44.4		
T	2020-09-20 16:40:36	51.294079134	-0.350047806	44.4		
T	2020-09-20 16:40:37	51.294077290	-0.350049483	44.4		
T	2020-09-20 16:40:38	51.294085588	-0.350054931	44.6		
T	2020-09-20 16:40:39	51.294118864	-0.350058200	44.6		
