type	time	latitude	longitude	altitude (m)	name	desc
T	2020-09-19 10:28:32	51.300844001	-0.354739409	69.0	Mole Valley Mountain Biking	
T	2020-09-19 10:28:34	51.300841402	-0.354715269	69.0		
T	2020-09-19 10:28:35	51.300933771	-0.354772266	69.0		
T	2020-09-19 10:28:36	51.300970148	-0.354797831	69.0		
T	2020-09-19 10:28:37	51.300986661	-0.354801351	69.2		
T	2020-09-19 10:28:38	51.300992696	-0.354802608	69.2		
T	2020-09-19 10:28:39	51.300991941	-0.354797663	69.2		
T	2020-09-19 10:28:40	51.300994372	-0.354794981	69.2		
T	2020-09-19 10:28:41	51.300998144	-0.354794143	69.2		
T	2020-09-19 10:28:42	51.300997054	-0.354797663	69.2		
T	2020-09-19 10:28:43	51.300986996	-0.354781738	69.4		
T	2020-09-19 10:28:44	51.300982218	-0.354778385	69.6		
T	2020-09-19 10:28:45	51.300973417	-0.354769332	69.6		
T	2020-09-19 10:28:46	51.300973333	-0.354766063	69.6		
T	2020-09-19 10:28:47	51.300974423	-0.354761621	69.8		
T	2020-09-19 10:28:48	51.300974172	-0.354765560	69.8		
T	2020-09-19 10:28:49	51.300972663	-0.354763130	69.8		
T	2020-09-19 10:28:50	51.300973836	-0.354760112	69.8		
T	2020-09-19 10:28:51	51.300980290	-0.354757346	69.8		
T	2020-09-19 10:28:52	51.300985990	-0.354745612	69.8		
T	2020-09-19 10:28:53	51.300992779	-0.354735134	69.8		
T	2020-09-19 10:28:54	51.300999820	-0.354724238	69.8		
T	2020-09-19 10:28:55	51.301008202	-0.354710575	69.8		
T	2020-09-19 10:28:56	51.301014153	-0.354690542	69.8		
T	2020-09-19 10:28:57	51.301021697	-0.354676377	69.8		
T	2020-09-19 10:28:58	51.301031169	-0.354664307	69.8		
T	2020-09-19 10:28:59	51.301040808	-0.354653746	70.0		
T	2020-09-19 10:29:00	51.301050866	-0.354646705	70.0		
T	2020-09-19 10:29:01	51.301062098	-0.354639497	70.0		
T	2020-09-19 10:29:02	51.301072827	-0.354631199	70.2		
T	2020-09-19 10:29:03	51.301083304	-0.354623152	70.2		
T	2020-09-19 10:29:04	51.301096380	-0.354613932	70.2		
T	2020-09-19 10:29:05	51.301108450	-0.354602616	70.2		
T	2020-09-19 10:29:06	51.301117335	-0.354590714	70.4		
T	2020-09-19 10:29:07	51.301126387	-0.354577973	70.4		
T	2020-09-19 10:29:08	51.301138373	-0.354568167	70.6		
T	2020-09-19 10:29:09	51.301150192	-0.354560036	70.8		
T	2020-09-19 10:29:10	51.301159663	-0.354554588	70.8		
T	2020-09-19 10:29:11	51.301168799	-0.354550062	71.0		
T	2020-09-19 10:29:12	51.301179612	-0.354543356	71.2		
T	2020-09-19 10:29:13	51.301188329	-0.354532460	71.2		
T	2020-09-19 10:29:14	51.301201489	-0.354523910	71.2		
T	2020-09-19 10:29:15	51.301214229	-0.354517959	71.4		
T	2020-09-19 10:29:16	51.301230071	-0.354513517	71.4		
T	2020-09-19 10:29:17	51.301244237	-0.354510751	71.2		
T	2020-09-19 10:29:18	51.301258570	-0.354508907	71.2		
T	2020-09-19 10:29:19	51.301270137	-0.354504548	71.0		
T	2020-09-19 10:29:20	51.301282039	-0.354497591	70.8		
T	2020-09-19 10:29:21	51.301296959	-0.354490215	70.8		
T	2020-09-19 10:29:22	51.301311627	-0.354481665	70.8		
T	2020-09-19 10:29:23	51.301323278	-0.354472278	70.6		
T	2020-09-19 10:29:24	51.301335432	-0.354460711	70.6		
T	2020-09-19 10:29:25	51.301348591	-0.354454173	70.6		
T	2020-09-19 10:29:26	51.301357644	-0.354441600	70.6		
T	2020-09-19 10:29:27	51.301360661	-0.354429279	70.6		
T	2020-09-19 10:29:28	51.301363343	-0.354411257	70.4		
T	2020-09-19 10:29:29	51.301362254	-0.354390135	70.4		
T	2020-09-19 10:29:30	51.301363176	-0.354376053	70.4		
T	2020-09-19 10:29:31	51.301364182	-0.354367420	70.2		
T	2020-09-19 10:29:32	51.301364852	-0.354355015	70.2		
T	2020-09-19 10:29:33	51.301371725	-0.354344118	70.2		
T	2020-09-19 10:29:34	51.301376419	-0.354335317	70.0		
T	2020-09-19 10:29:35	51.301380862	-0.354324756	70.0		
T	2020-09-19 10:29:36	51.301385136	-0.354309753	70.0		
T	2020-09-19 10:29:37	51.301386729	-0.354294078	69.8		
T	2020-09-19 10:29:38	51.301392009	-0.354272788	69.8		
T	2020-09-19 10:29:39	51.301396452	-0.354245631	69.8		
T	2020-09-19 10:29:40	51.301390501	-0.354214702	69.8		
T	2020-09-19 10:29:41	51.301385555	-0.354186203	69.8		
T	2020-09-19 10:29:42	51.301383963	-0.354160974	69.8		
T	2020-09-19 10:29:43	51.301381281	-0.354139013	69.8		
T	2020-09-19 10:29:44	51.301378347	-0.354124513	69.8		
T	2020-09-19 10:29:45	51.301381700	-0.354114538	69.8		
T	2020-09-19 10:29:46	51.301381532	-0.354109090	69.8		
T	2020-09-19 10:29:47	51.301383125	-0.354100792	69.8		
T	2020-09-19 10:29:48	51.301389746	-0.354095846	69.8		
T	2020-09-19 10:29:49	51.301397290	-0.354094505	69.8		
T	2020-09-19 10:29:50	51.301396284	-0.354086962	70.0		
T	2020-09-19 10:29:51	51.301392429	-0.354076400	70.0		
T	2020-09-19 10:29:52	51.301386226	-0.354071790	70.0		
T	2020-09-19 10:29:53	51.301387735	-0.354068941	70.0		
T	2020-09-19 10:29:54	51.301394524	-0.354062906	70.0		
T	2020-09-19 10:29:55	51.301396117	-0.354061732	70.0		
T	2020-09-19 10:29:56	51.301395530	-0.354062235	70.0		
T	2020-09-19 10:29:57	51.301394692	-0.354060642	69.8		
T	2020-09-19 10:29:58	51.301391507	-0.354058882	69.8		
T	2020-09-19 10:29:59	51.301393602	-0.354059888	69.8		
T	2020-09-19 10:30:00	51.301394943	-0.354059134	69.8		
T	2020-09-19 10:30:01	51.301400056	-0.354058379	69.8		
T	2020-09-19 10:30:02	51.301401565	-0.354056871	69.8		
T	2020-09-19 10:30:03	51.301401984	-0.354054440	69.8		
T	2020-09-19 10:30:04	51.301397206	-0.354054272	69.8		
T	2020-09-19 10:30:05	51.301399134	-0.354057038	69.8		
T	2020-09-19 10:30:06	51.301397122	-0.354058715	69.8		
T	2020-09-19 10:30:07	51.301393854	-0.354065336	69.6		
T	2020-09-19 10:30:08	51.301392848	-0.354067432	69.6		
T	2020-09-19 10:30:09	51.301395111	-0.354071790	69.4		
T	2020-09-19 10:30:10	51.301394524	-0.354073802	69.4		
T	2020-09-19 10:30:11	51.301396200	-0.354073131	69.4		
T	2020-09-19 10:30:12	51.301395027	-0.354073802	69.4		
T	2020-09-19 10:30:13	51.301393854	-0.354072042	69.4		
T	2020-09-19 10:30:14	51.301396787	-0.354069024	69.4		
T	2020-09-19 10:30:15	51.301396871	-0.354068689	69.4		
T	2020-09-19 10:30:16	51.301397039	-0.354068354	69.4		
T	2020-09-19 10:30:17	51.301396787	-0.354068354	69.4		
T	2020-09-19 10:30:18	51.301396536	-0.354068186	69.4		
T	2020-09-19 10:30:19	51.301398631	-0.354067264	69.4		
