type	time	latitude	longitude	altitude (m)	name	desc
T	2020-09-26 11:38:35	51.247662334	-0.330078593	-37.8	Mole Valley Mountain Biking	
T	2020-09-26 11:38:36	51.247671805	-0.330084208	-38.2		
T	2020-09-26 11:38:37	51.247676248	-0.330085466	-38.0		
T	2020-09-26 11:38:38	51.247679768	-0.330078760	-38.0		
T	2020-09-26 11:38:39	51.247679936	-0.330072977	-38.2		
T	2020-09-26 11:38:40	51.247674990	-0.330067696	-38.4		
T	2020-09-26 11:38:41	51.247669710	-0.330062918	-38.4		
T	2020-09-26 11:38:42	51.247664345	-0.330055123	-38.6		
T	2020-09-26 11:38:43	51.247661496	-0.330051184	-38.6		
T	2020-09-26 11:38:44	51.247657137	-0.330054369	-38.8		
T	2020-09-26 11:38:45	51.247658730	-0.330057135	-38.8		
T	2020-09-26 11:38:46	51.247665435	-0.330059230	-38.8		
T	2020-09-26 11:38:47	51.247669375	-0.330058392	-38.8		
T	2020-09-26 11:38:48	51.247670799	-0.330058224	-38.8		
T	2020-09-26 11:38:49	51.247672392	-0.330057722	-38.8		
T	2020-09-26 11:38:50	51.247674404	-0.330057805	-38.6		
T	2020-09-26 11:38:51	51.247674907	-0.330059063	-38.6		
T	2020-09-26 11:38:52	51.247675410	-0.330060823	-38.6		
T	2020-09-26 11:38:53	51.247675996	-0.330060236	-38.6		
T	2020-09-26 11:38:54	51.247675745	-0.330057805	-38.6		
T	2020-09-26 11:38:55	51.247673063	-0.330056967	-38.6		
T	2020-09-26 11:38:56	51.247671554	-0.330056464	-38.6		
T	2020-09-26 11:38:57	51.247670213	-0.330055458	-38.6		
T	2020-09-26 11:38:58	51.247669207	-0.330055458	-38.6		
T	2020-09-26 11:38:59	51.247668620	-0.330055878	-38.6		
T	2020-09-26 11:39:00	51.247665938	-0.330056632	-38.6		
T	2020-09-26 11:39:01	51.247664178	-0.330057051	-38.6		
T	2020-09-26 11:39:02	51.247662753	-0.330057302	-38.6		
T	2020-09-26 11:39:03	51.247663088	-0.330054788	-38.6		
T	2020-09-26 11:39:04	51.247662669	-0.330052609	-38.6		
T	2020-09-26 11:39:05	51.247662082	-0.330050765	-38.6		
T	2020-09-26 11:39:06	51.247662501	-0.330050262	-38.6		
T	2020-09-26 11:39:07	51.247662250	-0.330053782	-38.6		
T	2020-09-26 11:39:08	51.247661998	-0.330054369	-38.6		
T	2020-09-26 11:39:09	51.247665184	-0.330053866	-38.6		
T	2020-09-26 11:39:10	51.247665184	-0.330055207	-38.6		
T	2020-09-26 11:39:11	51.247665016	-0.330054956	-38.6		
T	2020-09-26 11:39:12	51.247663004	-0.330055710	-38.6		
T	2020-09-26 11:39:13	51.247662585	-0.330055710	-38.6		
T	2020-09-26 11:39:14	51.247660657	-0.330056716	-38.6		
T	2020-09-26 11:39:15	51.247658897	-0.330058560	-38.6		
T	2020-09-26 11:39:16	51.247657388	-0.330059566	-38.6		
T	2020-09-26 11:39:17	51.247657388	-0.330056632	-38.6		
T	2020-09-26 11:39:18	51.247655628	-0.330055291	-38.6		
T	2020-09-26 11:39:19	51.247652443	-0.330056213	-38.6		
T	2020-09-26 11:39:20	51.247650012	-0.330057386	-38.6		
T	2020-09-26 11:39:21	51.247649593	-0.330059733	-38.6		
T	2020-09-26 11:39:22	51.247650012	-0.330059230	-38.6		
T	2020-09-26 11:39:23	51.247649342	-0.330058560	-38.6		
T	2020-09-26 11:39:24	51.247644983	-0.330067277	-38.4		
T	2020-09-26 11:39:25	51.247639032	-0.330076078	-38.4		
T	2020-09-26 11:39:26	51.247632829	-0.330088902	-38.4		
T	2020-09-26 11:39:27	51.247622855	-0.330101475	-38.4		
T	2020-09-26 11:39:28	51.247612378	-0.330114635	-38.6		
T	2020-09-26 11:39:29	51.247604499	-0.330125447	-38.6		
T	2020-09-26 11:39:30	51.247596536	-0.330133829	-38.6		
T	2020-09-26 11:39:31	51.247587819	-0.330141122	-38.6		
T	2020-09-26 11:39:32	51.247578012	-0.330149923	-38.6		
T	2020-09-26 11:39:33	51.247568876	-0.330150006	-38.6		
T	2020-09-26 11:39:34	51.247561332	-0.330140870	-38.8		
T	2020-09-26 11:39:35	51.247557309	-0.330136176	-38.8		
T	2020-09-26 11:39:36	51.247557979	-0.330138355	-38.8		
T	2020-09-26 11:39:37	51.247557560	-0.330143888	-38.8		
T	2020-09-26 11:39:38	51.247556219	-0.330147324	-38.8		
T	2020-09-26 11:39:39	51.247556219	-0.330150593	-38.8		
T	2020-09-26 11:39:40	51.247555045	-0.330152689	-38.8		
T	2020-09-26 11:39:41	51.247543478	-0.330166519	-38.6		
T	2020-09-26 11:39:42	51.247544568	-0.330167022	-38.6		
T	2020-09-26 11:39:43	51.247544736	-0.330167189	-38.6		
T	2020-09-26 11:39:44	51.247545825	-0.330166183	-38.6		
T	2020-09-26 11:39:45	51.247546915	-0.330166100	-38.6		
T	2020-09-26 11:39:46	51.247548005	-0.330168698	-38.6		
T	2020-09-26 11:39:47	51.247547837	-0.330171632	-38.6		
T	2020-09-26 11:39:48	51.247545741	-0.330173643	-38.6		
T	2020-09-26 11:39:49	51.247543730	-0.330173727	-38.8		
T	2020-09-26 11:39:50	51.247541131	-0.330173224	-38.8		
T	2020-09-26 11:39:51	51.247539371	-0.330171632	-38.8		
T	2020-09-26 11:39:52	51.247539120	-0.330170793	-38.8		
T	2020-09-26 11:39:53	51.247537946	-0.330172554	-38.8		
T	2020-09-26 11:39:54	51.247537024	-0.330173476	-38.8		
T	2020-09-26 11:39:55	51.247536773	-0.330173559	-38.8		
T	2020-09-26 11:39:56	51.247536438	-0.330174314	-39.0		
T	2020-09-26 11:39:57	51.247536605	-0.330175152	-39.0		
T	2020-09-26 11:39:58	51.247537443	-0.330177667	-38.8		
T	2020-09-26 11:39:59	51.247539371	-0.330179511	-38.8		
T	2020-09-26 11:40:00	51.247539371	-0.330181606	-38.8		
T	2020-09-26 11:40:01	51.247538952	-0.330183199	-38.6		
T	2020-09-26 11:40:02	51.247539287	-0.330182780	-38.4		
T	2020-09-26 11:40:03	51.247540629	-0.330180349	-38.4		
T	2020-09-26 11:40:04	51.247543311	-0.330175990	-38.2		
T	2020-09-26 11:40:05	51.247543730	-0.330173476	-38.2		
T	2020-09-26 11:40:06	51.247545155	-0.330172051	-38.0		
T	2020-09-26 11:40:07	51.247547669	-0.330170793	-38.0		
T	2020-09-26 11:40:08	51.247550184	-0.330169704	-38.0		
T	2020-09-26 11:40:09	51.247550687	-0.330169201	-38.0		
T	2020-09-26 11:40:10	51.247550854	-0.330168949	-38.0		
T	2020-09-26 11:40:11	51.247550603	-0.330168782	-38.0		
T	2020-09-26 11:40:12	51.247551022	-0.330168363	-38.0		
T	2020-09-26 11:40:13	51.247551609	-0.330168614	-38.0		
T	2020-09-26 11:40:14	51.247552279	-0.330168027	-38.2		
T	2020-09-26 11:40:15	51.247552950	-0.330167776	-38.2		
T	2020-09-26 11:40:16	51.247553369	-0.330167441	-38.4		
T	2020-09-26 11:40:17	51.247553620	-0.330166519	-38.4		
T	2020-09-26 11:40:18	51.247554459	-0.330165848	-38.6		
T	2020-09-26 11:40:19	51.247555213	-0.330165261	-38.6		
T	2020-09-26 11:40:20	51.247555465	-0.330164926	-38.6		
T	2020-09-26 11:40:21	51.247555465	-0.330164842	-38.6		
T	2020-09-26 11:40:22	51.247555548	-0.330164507	-38.6		
T	2020-09-26 11:40:23	51.247555465	-0.330164507	-38.6		
T	2020-09-26 11:40:24	51.247555213	-0.330165010	-38.6		
T	2020-09-26 11:40:25	51.247554542	-0.330164926	-38.6		
