type	time	latitude	longitude	altitude (m)	name	desc
T	2020-09-21 15:15:08	51.296000853	-0.348615171	53.2	Mole Valley Mountain Biking	
T	2020-09-21 15:15:09	51.296000853	-0.348614752	53.8		
T	2020-09-21 15:15:10	51.296001356	-0.348613244	54.4		
T	2020-09-21 15:15:11	51.296003535	-0.348606706	54.2		
T	2020-09-21 15:15:12	51.296006804	-0.348593881	54.0		
T	2020-09-21 15:15:13	51.296013510	-0.348578459	53.8		
T	2020-09-21 15:15:14	51.296021724	-0.348562701	53.6		
T	2020-09-21 15:15:15	51.296031363	-0.348547446	53.6		
T	2020-09-21 15:15:16	51.296039410	-0.348529760	53.6		
T	2020-09-21 15:15:17	51.296047624	-0.348508470	53.6		
T	2020-09-21 15:15:18	51.296060197	-0.348488353	53.8		
T	2020-09-21 15:15:19	51.296073440	-0.348469242	53.8		
T	2020-09-21 15:15:20	51.296083331	-0.348450886	53.8		
T	2020-09-21 15:15:21	51.296086265	-0.348432949	53.8		
T	2020-09-21 15:15:22	51.296093725	-0.348417358	53.8		
T	2020-09-21 15:15:23	51.296102693	-0.348399421	53.8		
T	2020-09-21 15:15:24	51.296110488	-0.348380897	54.0		
T	2020-09-21 15:15:25	51.296116188	-0.348361870	54.0		
T	2020-09-21 15:15:26	51.296122391	-0.348344855	54.0		
T	2020-09-21 15:15:27	51.296123564	-0.348336389	54.0		
T	2020-09-21 15:15:28	51.296119625	-0.348333959	54.0		
T	2020-09-21 15:15:29	51.296116272	-0.348332198	54.0		
T	2020-09-21 15:15:30	51.296115015	-0.348329013	54.0		
T	2020-09-21 15:15:31	51.296119876	-0.348325912	54.0		
T	2020-09-21 15:15:32	51.296125995	-0.348322978	54.0		
T	2020-09-21 15:15:33	51.296121972	-0.348322643	54.0		
T	2020-09-21 15:15:34	51.296118954	-0.348321637	54.0		
T	2020-09-21 15:15:35	51.296121217	-0.348318536	54.0		
T	2020-09-21 15:15:36	51.296121553	-0.348317949	54.0		
T	2020-09-21 15:15:37	51.296121804	-0.348317446	54.0		
T	2020-09-21 15:15:38	51.296121720	-0.348317949	54.0		
T	2020-09-21 15:15:39	51.296121720	-0.348317781	54.0		
