type	time	latitude	longitude	altitude (m)	name	desc
T	2020-10-05 16:54:39	51.294025155	-0.350298844	44.4	Mole Valley Mountain Biking	
T	2020-10-05 16:54:40	51.294025155	-0.350298258	44.4		
T	2020-10-05 16:54:41	51.294024820	-0.350297922	44.4		
T	2020-10-05 16:54:42	51.294025825	-0.350299347	44.2		
T	2020-10-05 16:54:43	51.294033621	-0.350305466	44.2		
T	2020-10-05 16:54:44	51.294043092	-0.350315105	44.0		
T	2020-10-05 16:54:45	51.294053821	-0.350317284	43.8		
T	2020-10-05 16:54:46	51.294065388	-0.350316446	43.8		
T	2020-10-05 16:54:47	51.294077290	-0.350307561	43.8		
T	2020-10-05 16:54:48	51.294087768	-0.350296078	43.8		
T	2020-10-05 16:54:49	51.294096736	-0.350281578	43.8		
T	2020-10-05 16:54:50	51.294107549	-0.350270681	43.6		
T	2020-10-05 16:54:51	51.294120960	-0.350260120	43.6		
T	2020-10-05 16:54:52	51.294134455	-0.350242518	43.4		
T	2020-10-05 16:54:53	51.294146692	-0.350226592	43.4		
T	2020-10-05 16:54:54	51.294159852	-0.350215361	43.4		
T	2020-10-05 16:54:55	51.294172760	-0.350202955	43.4		
T	2020-10-05 16:54:56	51.294187931	-0.350191053	43.6		
T	2020-10-05 16:54:57	51.294199750	-0.350181665	43.8		
T	2020-10-05 16:54:58	51.294211568	-0.350171188	44.0		
T	2020-10-05 16:54:59	51.294226237	-0.350158447	44.2		
T	2020-10-05 16:55:00	51.294241324	-0.350149311	44.4		
T	2020-10-05 16:55:01	51.294255825	-0.350141851	44.2		
T	2020-10-05 16:55:02	51.294266051	-0.350134308	44.0		
T	2020-10-05 16:55:03	51.294269906	-0.350132296	43.8		
T	2020-10-05 16:55:04	51.294271499	-0.350133050	43.6		
T	2020-10-05 16:55:05	51.294272086	-0.350132044	43.4		
T	2020-10-05 16:55:06	51.294282395	-0.350125004	43.2		
T	2020-10-05 16:55:07	51.294295052	-0.350112766	43.2		
T	2020-10-05 16:55:08	51.294304440	-0.350098433	43.2		
T	2020-10-05 16:55:09	51.294313576	-0.350083765	43.2		
