type	time	latitude	longitude	altitude (m)	name	desc
T	2020-09-27 15:30:38	51.293931780	-0.350058116	-68.4	Mole Valley Mountain Biking	
T	2020-09-27 15:30:39	51.294317851	-0.349912271	-68.2		
T	2020-09-27 15:30:40	51.294258675	-0.349935740	-68.4		
T	2020-09-27 15:30:41	51.294233277	-0.349950744	-68.4		
T	2020-09-27 15:30:42	51.294233697	-0.349933058	-68.6		
T	2020-09-27 15:30:43	51.294227494	-0.349926269	-68.6		
T	2020-09-27 15:30:44	51.294230763	-0.349924676	-68.6		
T	2020-09-27 15:30:45	51.294230847	-0.349922413	-68.8		
T	2020-09-27 15:30:46	51.294226572	-0.349922664	-68.8		
T	2020-09-27 15:30:47	51.294226069	-0.349922916	-68.8		
T	2020-09-27 15:30:48	51.294223974	-0.349925430	-68.8		
T	2020-09-27 15:30:49	51.294230511	-0.349915791	-68.8		
T	2020-09-27 15:30:50	51.294265129	-0.349976476	-68.8		
T	2020-09-27 15:30:51	51.294284239	-0.349993827	-68.8		
T	2020-09-27 15:30:52	51.294285497	-0.350004975	-68.8		
T	2020-09-27 15:30:53	51.294293962	-0.350012267	-69.0		
T	2020-09-27 15:30:54	51.294305949	-0.350019978	-69.0		
T	2020-09-27 15:30:55	51.294318605	-0.350027522	-69.0		
T	2020-09-27 15:30:56	51.294329334	-0.350035820	-69.0		
T	2020-09-27 15:30:57	51.294324808	-0.350062391	-69.0		
T	2020-09-27 15:30:58	51.294286419	-0.350098601	-69.0		
T	2020-09-27 15:30:59	51.294280216	-0.350120142	-69.2		
T	2020-09-27 15:31:00	51.294262866	-0.350144701	-69.4		
T	2020-09-27 15:31:01	51.294263033	-0.350159453	-69.4		
T	2020-09-27 15:31:02	51.294266973	-0.350167751	-69.4		
T	2020-09-27 15:31:03	51.294276193	-0.350176049	-69.4		
T	2020-09-27 15:31:04	51.294281390	-0.350190550	-69.6		
T	2020-09-27 15:31:05	51.294286167	-0.350199686	-69.6		
T	2020-09-27 15:31:06	51.294292873	-0.350198681	-69.6		
T	2020-09-27 15:31:07	51.294298824	-0.350192729	-69.6		
T	2020-09-27 15:31:08	51.294301674	-0.350185353	-69.6		
T	2020-09-27 15:31:09	51.294305697	-0.350176217	-69.6		
T	2020-09-27 15:31:10	51.294311648	-0.350164818	-69.8		
T	2020-09-27 15:31:11	51.294315252	-0.350151910	-69.8		
T	2020-09-27 15:31:12	51.294315504	-0.350145875	-69.6		
T	2020-09-27 15:31:13	51.294318773	-0.350142606	-69.6		
T	2020-09-27 15:31:14	51.294326484	-0.350133637	-69.6		
T	2020-09-27 15:31:15	51.294334698	-0.350125171	-69.6		
T	2020-09-27 15:31:16	51.294337716	-0.350125842	-69.6		
T	2020-09-27 15:31:17	51.294338051	-0.350125926	-69.6		
T	2020-09-27 15:31:18	51.294336375	-0.350126345	-69.6		
T	2020-09-27 15:31:19	51.294335285	-0.350127099	-69.8		
T	2020-09-27 15:31:20	51.294333106	-0.350129362	-69.8		
T	2020-09-27 15:31:21	51.294333609	-0.350132631	-69.8		
T	2020-09-27 15:31:22	51.294336459	-0.350132883	-69.6		
T	2020-09-27 15:31:23	51.294342577	-0.350128021	-69.4		
T	2020-09-27 15:31:24	51.294348193	-0.350123243	-69.4		
T	2020-09-27 15:31:25	51.294352384	-0.350119891	-69.4		
