type	time	latitude	longitude	altitude (m)	name	desc
T	2020-09-25 13:06:06	51.300787004	-0.354765896	-5.0	Mole Valley Mountain Biking	
T	2020-09-25 13:06:07	51.300952295	-0.354723400	-5.4		
T	2020-09-25 13:06:08	51.300954809	-0.354688531	-5.6		
T	2020-09-25 13:06:09	51.300941231	-0.354680568	-6.0		
T	2020-09-25 13:06:10	51.300918516	-0.354687609	-6.0		
T	2020-09-25 13:06:11	51.300915163	-0.354685010	-6.0		
T	2020-09-25 13:06:12	51.300931675	-0.354676126	-6.0		
T	2020-09-25 13:06:13	51.300917175	-0.354681155	-6.0		
T	2020-09-25 13:06:14	51.300916923	-0.354690040	-5.8		
T	2020-09-25 13:06:15	51.300914409	-0.354695991	-5.8		
T	2020-09-25 13:06:16	51.300909044	-0.354701271	-5.6		
T	2020-09-25 13:06:17	51.300905440	-0.354704121	-5.4		
T	2020-09-25 13:06:18	51.300897393	-0.354707642	-5.4		
T	2020-09-25 13:06:19	51.300897477	-0.354706468	-5.2		
T	2020-09-25 13:06:20	51.300898567	-0.354705462	-5.2		
T	2020-09-25 13:06:21	51.300898064	-0.354704540	-5.2		
T	2020-09-25 13:06:22	51.300890855	-0.354703199	-5.2		
T	2020-09-25 13:06:23	51.300893286	-0.354700517	-5.4		
T	2020-09-25 13:06:24	51.300899321	-0.354691464	-5.4		
T	2020-09-25 13:06:25	51.300910972	-0.354682244	-5.6		
T	2020-09-25 13:06:26	51.300920360	-0.354675036	-5.6		
T	2020-09-25 13:06:27	51.300932094	-0.354668582	-5.8		
T	2020-09-25 13:06:28	51.300951205	-0.354656344	-6.0		
T	2020-09-25 13:06:29	51.300966628	-0.354648046	-6.0		
T	2020-09-25 13:06:30	51.300979452	-0.354634803	-6.0		
T	2020-09-25 13:06:31	51.300991606	-0.354619380	-6.0		
T	2020-09-25 13:06:32	51.301004849	-0.354605969	-6.2		
T	2020-09-25 13:06:33	51.301019937	-0.354594067	-6.0		
T	2020-09-25 13:06:34	51.301035024	-0.354580572	-5.8		
T	2020-09-25 13:06:35	51.301042400	-0.354569592	-5.6		
T	2020-09-25 13:06:36	51.301053716	-0.354561796	-5.6		
T	2020-09-25 13:06:37	51.301071653	-0.354555426	-5.6		
T	2020-09-25 13:06:38	51.301091686	-0.354547715	-5.4		
T	2020-09-25 13:06:39	51.301105935	-0.354540758	-5.4		
T	2020-09-25 13:06:40	51.301112222	-0.354532963	-5.2		
T	2020-09-25 13:06:41	51.301113227	-0.354521312	-5.2		
T	2020-09-25 13:06:42	51.301116161	-0.354515109	-5.2		
T	2020-09-25 13:06:43	51.301119011	-0.354514774	-5.2		
T	2020-09-25 13:06:44	51.301119514	-0.354514187	-5.2		
T	2020-09-25 13:06:45	51.301121777	-0.354507985	-5.0		
T	2020-09-25 13:06:46	51.301130326	-0.354499016	-5.0		
T	2020-09-25 13:06:47	51.301143821	-0.354491053	-5.2		
T	2020-09-25 13:06:48	51.301157484	-0.354482336	-5.2		
T	2020-09-25 13:06:49	51.301167794	-0.354477223	-5.2		
T	2020-09-25 13:06:50	51.301176175	-0.354470769	-5.0		
T	2020-09-25 13:06:51	51.301184222	-0.354457190	-4.8		
T	2020-09-25 13:06:52	51.301192772	-0.354446964	-4.6		
T	2020-09-25 13:06:53	51.301202411	-0.354432547	-4.6		
T	2020-09-25 13:06:54	51.301214648	-0.354420310	-4.6		
T	2020-09-25 13:06:55	51.301226048	-0.354413772	-4.4		
T	2020-09-25 13:06:56	51.301236609	-0.354409581	-4.4		
T	2020-09-25 13:06:57	51.301241806	-0.354399020	-4.4		
T	2020-09-25 13:06:58	51.301249098	-0.354392231	-4.6		
T	2020-09-25 13:06:59	51.301258989	-0.354386447	-4.6		
T	2020-09-25 13:07:00	51.301268460	-0.354388040	-4.6		
T	2020-09-25 13:07:01	51.301280614	-0.354384184	-4.6		
T	2020-09-25 13:07:02	51.301291343	-0.354374796	-4.8		
T	2020-09-25 13:07:03	51.301304167	-0.354366163	-4.8		
T	2020-09-25 13:07:04	51.301318919	-0.354355602	-5.0		
T	2020-09-25 13:07:05	51.301329732	-0.354340179	-5.0		
T	2020-09-25 13:07:06	51.301338281	-0.354322493	-5.4		
T	2020-09-25 13:07:07	51.301342221	-0.354309753	-5.6		
T	2020-09-25 13:07:08	51.301350016	-0.354307573	-5.8		
T	2020-09-25 13:07:09	51.301355548	-0.354308998	-6.0		
T	2020-09-25 13:07:10	51.301364852	-0.354311680	-6.0		
T	2020-09-25 13:07:11	51.301372983	-0.354311597	-6.2		
T	2020-09-25 13:07:12	51.301377425	-0.354301622	-6.4		
T	2020-09-25 13:07:13	51.301382035	-0.354284942	-6.4		
T	2020-09-25 13:07:14	51.301377928	-0.354262562	-6.4		
T	2020-09-25 13:07:15	51.301376754	-0.354242278	-6.6		
T	2020-09-25 13:07:16	51.301380945	-0.354225598	-6.8		
T	2020-09-25 13:07:17	51.301397374	-0.354211181	-7.0		
T	2020-09-25 13:07:18	51.301401984	-0.354195843	-7.2		
T	2020-09-25 13:07:19	51.301408438	-0.354190394	-7.2		
T	2020-09-25 13:07:20	51.301406175	-0.354188550	-7.0		
T	2020-09-25 13:07:21	51.301404834	-0.354187712	-6.8		
T	2020-09-25 13:07:22	51.301400559	-0.354183353	-6.4		
T	2020-09-25 13:07:23	51.301393351	-0.354176983	-6.0		
T	2020-09-25 13:07:24	51.301387567	-0.354175307	-6.0		
T	2020-09-25 13:07:25	51.301383041	-0.354173295	-5.8		
T	2020-09-25 13:07:26	51.301388657	-0.354174217	-5.8		
T	2020-09-25 13:07:27	51.301386813	-0.354167344	-5.8		
T	2020-09-25 13:07:28	51.301382454	-0.354160471	-5.8		
T	2020-09-25 13:07:29	51.301379688	-0.354156280	-5.8		
T	2020-09-25 13:07:30	51.301377341	-0.354153849	-6.0		
T	2020-09-25 13:07:31	51.301376084	-0.354155777	-6.0		
T	2020-09-25 13:07:32	51.301378934	-0.354150245	-6.0		
T	2020-09-25 13:07:33	51.301376587	-0.354138594	-6.2		
T	2020-09-25 13:07:34	51.301386561	-0.354135241	-6.2		
T	2020-09-25 13:07:35	51.301394608	-0.354131805	-6.2		
T	2020-09-25 13:07:36	51.301393099	-0.354122669	-6.2		
T	2020-09-25 13:07:37	51.301394776	-0.354116885	-6.2		
T	2020-09-25 13:07:38	51.301396955	-0.354112023	-6.2		
T	2020-09-25 13:07:39	51.301398296	-0.354111688	-6.2		
T	2020-09-25 13:07:40	51.301402906	-0.354114454	-6.2		
T	2020-09-25 13:07:41	51.301403493	-0.354121411	-6.0		
T	2020-09-25 13:07:42	51.301404331	-0.354122836	-6.0		
T	2020-09-25 13:07:43	51.301407265	-0.354115795	-6.0		
T	2020-09-25 13:07:44	51.301410114	-0.354108419	-6.0		
