type	time	latitude	longitude	altitude (m)	name	desc
T	2020-10-01 13:11:49	51.301000407	-0.354692722	47.4	Mole Valley Mountain Biking	
T	2020-10-01 13:11:50	51.301000910	-0.354659697	47.4		
T	2020-10-01 13:11:51	51.301010046	-0.354635473	47.4		
T	2020-10-01 13:11:52	51.301025720	-0.354614351	47.4		
T	2020-10-01 13:11:53	51.301037120	-0.354607310	47.4		
T	2020-10-01 13:11:54	51.301048100	-0.354601275	47.4		
T	2020-10-01 13:11:55	51.301058577	-0.354604963	47.2		
T	2020-10-01 13:11:56	51.301069390	-0.354598928	47.2		
T	2020-10-01 13:11:57	51.301083136	-0.354595492	47.2		
T	2020-10-01 13:11:58	51.301097050	-0.354586020	47.2		
T	2020-10-01 13:11:59	51.301109958	-0.354580740	47.2		
T	2020-10-01 13:12:00	51.301121442	-0.354577471	47.4		
T	2020-10-01 13:12:01	51.301141474	-0.354519803	47.4		
T	2020-10-01 13:12:02	51.301144743	-0.354528939	47.6		
T	2020-10-01 13:12:03	51.301146504	-0.354528353	47.6		
T	2020-10-01 13:12:04	51.301144995	-0.354526257	47.8		
T	2020-10-01 13:12:05	51.301145665	-0.354534304	47.8		
T	2020-10-01 13:12:06	51.301150527	-0.354531119	47.8		
T	2020-10-01 13:12:07	51.301156646	-0.354522904	47.8		
T	2020-10-01 13:12:08	51.301159160	-0.354512595	47.8		
T	2020-10-01 13:12:09	51.301160501	-0.354502536	47.8		
T	2020-10-01 13:12:10	51.301176678	-0.354483007	47.8		
T	2020-10-01 13:12:11	51.301201405	-0.354478396	47.8		
T	2020-10-01 13:12:12	51.301217247	-0.354471691	48.0		
T	2020-10-01 13:12:13	51.301231999	-0.354482420	48.2		
T	2020-10-01 13:12:14	51.301240632	-0.354493819	48.2		
T	2020-10-01 13:12:15	51.301253708	-0.354498513	48.4		
T	2020-10-01 13:12:16	51.301268879	-0.354500776	48.6		
T	2020-10-01 13:12:17	51.301278938	-0.354499016	48.6		
T	2020-10-01 13:12:18	51.301287822	-0.354491891	48.8		
T	2020-10-01 13:12:19	51.301295366	-0.354491305	48.8		
T	2020-10-01 13:12:20	51.301301820	-0.354490886	48.8		
T	2020-10-01 13:12:21	51.301309615	-0.354482252	48.8		
T	2020-10-01 13:12:22	51.301317243	-0.354472278	49.0		
T	2020-10-01 13:12:23	51.301328139	-0.354451155	49.0		
T	2020-10-01 13:12:24	51.301336437	-0.354440007	49.0		
T	2020-10-01 13:12:25	51.301346412	-0.354434308	49.0		
T	2020-10-01 13:12:26	51.301357560	-0.354429614	49.0		
T	2020-10-01 13:12:27	51.301360996	-0.354423998	49.0		
T	2020-10-01 13:12:28	51.301363595	-0.354403881	49.0		
T	2020-10-01 13:12:29	51.301367283	-0.354397511	49.0		
T	2020-10-01 13:12:30	51.301370468	-0.354389884	48.8		
T	2020-10-01 13:12:31	51.301376587	-0.354387956	48.8		
T	2020-10-01 13:12:32	51.301378766	-0.354376556	48.6		
T	2020-10-01 13:12:33	51.301382119	-0.354366247	48.6		
T	2020-10-01 13:12:34	51.301389495	-0.354351327	48.6		
T	2020-10-01 13:12:35	51.301394273	-0.354353506	48.4		
T	2020-10-01 13:12:36	51.301406343	-0.354344537	48.4		
T	2020-10-01 13:12:37	51.301417407	-0.354338083	48.4		
T	2020-10-01 13:12:38	51.301426124	-0.354329115	48.4		
T	2020-10-01 13:12:39	51.301432159	-0.354312854	48.4		
T	2020-10-01 13:12:40	51.301438445	-0.354293073	48.4		
T	2020-10-01 13:12:41	51.301440289	-0.354265999	48.4		
T	2020-10-01 13:12:42	51.301437942	-0.354244290	48.2		
T	2020-10-01 13:12:43	51.301438110	-0.354226185	48.0		
T	2020-10-01 13:12:44	51.301438864	-0.354207829	48.0		
T	2020-10-01 13:12:45	51.301438445	-0.354188969	47.8		
T	2020-10-01 13:12:46	51.301437104	-0.354168518	47.8		
T	2020-10-01 13:12:47	51.301440289	-0.354143372	47.8		
T	2020-10-01 13:12:48	51.301444732	-0.354119735	47.8		
T	2020-10-01 13:12:49	51.301445486	-0.354096433	47.8		
T	2020-10-01 13:12:50	51.301444313	-0.354069443	47.8		
T	2020-10-01 13:12:51	51.301439367	-0.354052177	47.8		
T	2020-10-01 13:12:52	51.301439786	-0.354033569	47.8		
T	2020-10-01 13:12:53	51.301442301	-0.354012027	47.8		
T	2020-10-01 13:12:54	51.301440038	-0.353988810	47.8		
T	2020-10-01 13:12:55	51.301442385	-0.353972381	47.8		
T	2020-10-01 13:12:56	51.301447246	-0.353959138	47.8		
T	2020-10-01 13:12:57	51.301448084	-0.353945643	47.8		
T	2020-10-01 13:12:58	51.301455880	-0.353932986	47.6		
T	2020-10-01 13:12:59	51.301460490	-0.353921503	47.6		
T	2020-10-01 13:13:00	51.301466357	-0.353914378	47.6		
T	2020-10-01 13:13:01	51.301467195	-0.353928292	47.6		
T	2020-10-01 13:13:02	51.301476331	-0.353923095	47.6		
T	2020-10-01 13:13:03	51.301486725	-0.353923934	47.6		
